---====BeginTree====---
x: 292	y: 475
x: 281	y: 536
x: 271	y: 555
x: 304	y: 618
x: 330	y: 680
x: 313	y: 744
x: 270	y: 786
x: 278	y: 845
x: 319	y: 918
x: 348	y: 988
x: 326	y: 1049
x: 308	y: 1093
x: 304	y: 1132
x: 321	y: 1186
x: 332	y: 1251
x: 319	y: 1330
x: 341	y: 1389
x: 345	y: 1428
x: 466	y: 1490
x: 451	y: 1473
x: 431	y: 1454
x: 404	y: 1456
x: 369	y: 1451
x: 494	y: 1491
x: 561	y: 1509
x: 536	y: 1504
x: 616	y: 1508
x: 670	y: 1510
x: 720	y: 1514
x: 785	y: 1518
x: 826	y: 1521
x: 868	y: 1525
x: 926	y: 1530
x: 974	y: 1534
x: 1016	y: 1539
x: 1057	y: 1543
x: 898	y: 1536
x: 854	y: 1527
x: 749	y: 1518
x: 693	y: 1533
x: 645	y: 1524
x: 590	y: 1521
x: 1097	y: 1519
x: 1170	y: 1533
x: 1230	y: 1525
x: 1273	y: 1531
x: 1205	y: 1563
x: 1127	y: 1538
x: 1343	y: 1526
x: 1411	y: 1534
x: 1480	y: 1516
x: 1526	y: 1527
x: 1496	y: 1545
x: 1481	y: 1542
x: 1447	y: 1544
x: 1387	y: 1548
x: 1312	y: 1534
x: 1551	y: 1544
x: 1620	y: 1551
x: 1699	y: 1553
x: 1698	y: 1531
x: 1674	y: 1545
x: 1583	y: 1523
x: 1761	y: 1554
x: 1821	y: 1552
x: 1721	y: 1553
x: 1654	y: 1541
x: 1795	y: 1540
x: 1909	y: 1537
x: 1881	y: 1526
x: 1875	y: 1539
x: 1939	y: 1463
x: 1939	y: 1457
x: 1937	y: 1423
x: 1942	y: 1351
x: 1955	y: 1311
x: 1972	y: 1259
x: 1976	y: 1208
x: 1976	y: 1206
x: 1979	y: 1152
x: 1982	y: 1097
x: 1985	y: 1073
x: 1994	y: 1007
x: 1998	y: 921
x: 1989	y: 873
x: 1965	y: 806
x: 1968	y: 739
x: 1971	y: 688
x: 1975	y: 754
x: 2004	y: 825
x: 2015	y: 638
x: 2011	y: 590
x: 2001	y: 549
x: 1980	y: 505
x: 1956	y: 481
x: 1922	y: 453
x: 1888	y: 432
x: 1862	y: 418
x: 1831	y: 403
x: 1798	y: 389
x: 1761	y: 374
x: 1728	y: 360
x: 1699	y: 347
x: 1656	y: 329
x: 1644	y: 324
x: 1610	y: 311
x: 1579	y: 300
x: 1547	y: 288
x: 1511	y: 275
x: 1473	y: 262
x: 1417	y: 243
x: 1363	y: 227
x: 1312	y: 212
x: 1286	y: 205
x: 1395	y: 260
x: 1269	y: 206
x: 1228	y: 181
x: 1186	y: 176
x: 1148	y: 176
x: 1101	y: 172
x: 1053	y: 167
x: 1005	y: 162
x: 950	y: 148
x: 902	y: 138
x: 858	y: 134
x: 820	y: 133
x: 772	y: 133
x: 730	y: 138
x: 701	y: 142
x: 674	y: 146
x: 647	y: 150
x: 628	y: 153
x: 607	y: 156
x: 540	y: 160
x: 504	y: 156
x: 485	y: 154
x: 450	y: 149
x: 401	y: 138
x: 251	y: 425
x: 214	y: 356
x: 188	y: 308
x: 158	y: 238
x: 137	y: 155
x: 138	y: 86
x: 177	y: 18
x: 244	y: -5
x: 304	y: -13
x: 369	y: 22
x: 403	y: 65
x: 378	y: 77
x: 334	y: 24
x: 272	y: -13
x: 216	y: 18
x: 159	y: 64
x: 129	y: 110
x: 135	y: 150
x: 147	y: 222
x: 153	y: 284
x: 168	y: 361
x: 203	y: 434
x: 238	y: 473
x: 289	y: 523
x: 283	y: 592
x: 251	y: 645
x: 210	y: 657
x: 177	y: 694
x: 170	y: 739
x: 176	y: 780
x: 190	y: 813
x: 206	y: 842
x: 222	y: 890
x: 200	y: 918
x: 162	y: 940
x: 129	y: 931
x: 104	y: 913
x: 80	y: 886
x: 53	y: 790
x: 44	y: 728
x: 72	y: 668
x: 116	y: 603
x: 149	y: 539
x: 136	y: 473
x: 101	y: 418
x: 70	y: 334
---====EndTree====---
